# type  value  stat. err
v4_L  2.9099043386e-03  8.2356717459e-04
v4(Psi2)  2.6586957596e-03  4.8817819907e-04
rho_422  6.7452205078e-01  1.5162414391e-01
chi_422  5.9125825476e-01  1.0275763811e-01
v5_L  3.3419415503e-03  3.3180374734e-04
v5(Psi23)  -1.7164762617e-04  4.7779892187e-04
rho_523  -5.1294035431e-02  1.4287207618e-01
chi_523  -1.5798532589e-01  4.3966789527e-01
v6_L  2.0677804272e-05  2.0045470301e-06
v6(Psi2)  -4.1104459028e-04  3.0012019525e-04
v6(Psi3)  -3.3069261034e-04  4.6173902771e-04
rho_6222  -1.4196049275e-01  1.0497327135e-01
rho_633  -1.1420971599e-01  1.6002740283e-01
chi_6222  -1.1447848771e+00  8.2944606983e-01
chi_633  -7.2854847745e-01  1.0151148775e+00
