# n  vn{4}  vn{4}_err  Cn{4}  Cn{4}_err
1  2.9599848611e-03  8.0927074163e-04  -7.6764064098e-11  8.3950309207e-11
2  3.8385383328e-02  1.7983049973e-03  -2.1710185180e-06  4.0683751070e-07
3  8.1913457102e-03  1.3808098905e-03  -4.5021610012e-09  3.0357055649e-09
