# type  value  stat. err
v4_L  2.0925105741e-03  6.1134335189e-04
v4(Psi2)  2.1065895680e-03  3.5239775293e-04
rho_422  7.0947362324e-01  1.4530796115e-01
chi_422  7.3069717082e-01  1.1451876854e-01
v5_L  2.3148497844e-03  2.4738516423e-04
v5(Psi23)  3.1606620935e-05  3.2277202137e-04
rho_523  1.3652581426e-02  1.3943004012e-01
chi_523  4.7879245981e-02  4.8894271709e-01
v6_L  9.7219397033e-06  1.1139464394e-06
v6(Psi2)  -4.2594006589e-04  2.3879681301e-04
v6(Psi3)  -2.2254939998e-04  3.0820005327e-04
rho_6222  -2.8335657190e-01  1.7232051746e-01
rho_633  -1.4805095859e-01  2.0797676636e-01
chi_6222  -2.3112954285e+00  1.2798890815e+00
chi_633  -8.5122945794e-01  1.1764647343e+00
