# type  value  stat. err
v4_L  1.4736201703e-03  1.4534211205e-04
v4(Psi2)  4.7802475731e-04  1.3476733164e-04
rho_422  3.0855953510e-01  9.0868053839e-02
chi_422  2.8050201401e-01  7.7872345492e-02
v5_L  8.5965603732e-04  2.0389180036e-04
v5(Psi23)  -1.5871289102e-04  1.0581190680e-04
rho_523  -1.8155540115e-01  1.2794124709e-01
chi_523  -1.1190329570e+00  7.4031848873e-01
v6_L  3.5403150783e-06  2.6023919619e-07
v6(Psi2)  7.9102600726e-05  8.8111441226e-05
v6(Psi3)  -1.1333848013e-04  1.1178741129e-04
rho_6222  inf  inf
rho_633  -inf  inf
chi_6222  9.1187031857e-01  1.0136011889e+00
chi_633  -4.6452324208e+00  4.5488197443e+00
