# type  value  stat. err
v4_L  3.6800230930e-03  2.3696345484e-04
v4(Psi2)  7.4988944855e-04  2.7105622963e-04
rho_422  1.9966970358e-01  7.3164466303e-02
chi_422  2.0341182932e-01  7.2682299605e-02
v5_L  1.9182102435e-03  2.5051859631e-04
v5(Psi23)  -1.6271778033e-04  2.0343748237e-04
rho_523  -8.4524353497e-02  1.0624050041e-01
chi_523  -4.1783555407e-01  5.2132627686e-01
v6_L  8.8501992062e-06  6.0019080746e-07
v6(Psi2)  -1.2862569176e-04  1.4758174163e-04
v6(Psi3)  -2.3089847572e-05  1.8636288089e-04
rho_6222  -inf  inf
rho_633  -inf  inf
chi_6222  -4.5898978604e-01  5.2531528085e-01
chi_633  -3.1402174275e-01  2.5343535062e+00
