# type  value  stat. err
v4_L  1.8648728099e-03  1.6588168419e-04
v4(Psi2)  5.3656294007e-04  1.6538423975e-04
rho_422  2.7650352664e-01  8.7960457825e-02
chi_422  2.3618022783e-01  7.1824254519e-02
v5_L  1.1570917700e-03  2.0681768506e-04
v5(Psi23)  -1.6698584548e-04  1.2468106040e-04
rho_523  -1.4283538568e-01  1.0952049183e-01
chi_523  -8.2752265221e-01  6.1463437115e-01
v6_L  4.5345326220e-06  3.3193139341e-07
v6(Psi2)  5.2512583419e-05  1.0236234344e-04
v6(Psi3)  -1.5539394443e-04  1.2105517708e-04
rho_6222  inf  inf
rho_633  -inf  inf
chi_6222  3.9194246294e-01  7.6346122981e-01
chi_633  -4.4752186837e+00  3.4541134037e+00
