# type  value  stat. err
v4_L  4.8842167828e-03  1.5809256999e-03
v4(Psi2)  7.1174345092e-03  8.6082661321e-04
rho_422  8.2452940962e-01  1.1246746740e-01
chi_422  1.6475033996e+00  1.1028786502e-01
v5_L  2.3799238637e-03  4.6631183629e-04
v5(Psi23)  2.1816718640e-03  3.0985720945e-04
rho_523  6.7573724966e-01  1.1165258876e-01
chi_523  3.3970730006e+00  4.2609020626e-01
v6_L  6.6048311835e-06  2.5019578286e-06
v6(Psi2)  1.0569682711e-03  4.8787561465e-04
v6(Psi3)  4.2816227131e-04  2.3823576244e-04
rho_6222  4.7008465890e-01  2.2089418742e-01
rho_633  1.9042436822e-01  1.0727330238e-01
chi_6222  3.1982307677e+00  1.3705041778e+00
chi_633  1.5943263136e+00  8.7158320004e-01
