# n  vn{4}/vn{2}  (vn{4}/vn{2})_err  Fn  Fn_err
# Fn = sqrt((vn{2}^2 - vn{4}^2)/(vn{2}^2 + vn{4}^2))
1  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00
2  7.9333012117e-01  6.7880943774e-02  4.7687530581e-01  8.6119196081e-02
3  7.4872374832e-01  9.3701609118e-02  5.3054673791e-01  1.0903402497e-01
