# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  9.0911136393e-03  1.1433335543e-02  9.6038759281e-03  1.2766360232e-02
SC_42  9.1093471138e-03  1.1454312028e-02  9.6231942735e-03  1.2790013282e-02
