# type  value  stat. err
v4_L  9.3422188092e-03  3.2288576320e-03
v4(Psi2)  1.3541865665e-02  1.8532394942e-03
rho_422  8.2312752030e-01  1.2361162662e-01
chi_422  1.2780651955e+00  1.1305686309e-01
v5_L  4.4379277308e-03  8.9549061666e-04
v5(Psi23)  4.3835005058e-03  6.1112114531e-04
rho_523  7.0273063600e-01  1.1139562552e-01
chi_523  2.5285143626e+00  3.0670706702e-01
v6_L  1.5034724757e-05  1.5041499301e-05
v6(Psi2)  1.9794303843e-03  1.0622441970e-03
v6(Psi3)  1.1025622555e-03  4.7633143183e-04
rho_6222  4.4343368886e-01  2.4124259764e-01
rho_633  2.4699694014e-01  1.0896772877e-01
chi_6222  1.6834759635e+00  8.5076723161e-01
chi_633  1.3281756120e+00  5.5481589414e-01
