# type  value  stat. err
v4_L  9.0118579282e-03  3.0692968008e-03
v4(Psi2)  1.2003206964e-02  1.7827337924e-03
rho_422  7.9969760702e-01  1.3407946901e-01
chi_422  1.0646149947e+00  9.1395624389e-02
v5_L  5.8537037397e-03  1.5314894829e-03
v5(Psi23)  5.8493737261e-03  1.1384604130e-03
rho_523  7.0684511085e-01  1.5087797496e-01
chi_523  1.7976925363e+00  3.1580775151e-01
v6_L  9.7198502785e-06  1.1949822161e-05
v6(Psi2)  2.8737198034e-03  1.2120949648e-03
v6(Psi3)  1.1634102325e-03  4.5272145685e-04
rho_6222  6.1002763015e-01  2.7118336962e-01
rho_633  2.4696645309e-01  1.0216753931e-01
chi_6222  2.1020232521e+00  8.2109032876e-01
chi_633  6.8070493113e-01  2.5392552080e-01
