# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  -5.8521640531e-03  7.2260896429e-03  -5.6407385902e-03  6.6956491260e-03
SC_42  -5.8691872604e-03  7.2456381117e-03  -5.6571153371e-03  6.7137183660e-03
