# type  value  stat. err
v4_L  1.3869827386e-03  4.8335942009e-04
v4(Psi2)  1.4392871330e-03  2.9085541695e-04
rho_422  7.2006956250e-01  1.7343953600e-01
chi_422  1.5350101543e+00  2.5163210675e-01
v5_L  4.7871701174e-04  5.4679246302e-04
v5(Psi23)  2.7189632157e-04  1.4838672898e-04
rho_523  4.9386937094e-01  5.0023581896e-01
chi_523  1.8750926744e+00  9.9071924003e-01
v6_L  6.2498175600e-06  7.8531225187e-07
v6(Psi2)  1.1135979523e-04  1.7424689888e-04
v6(Psi3)  4.5063820887e-05  2.9862651645e-04
rho_6222  2.3209811913e-01  4.7628611593e-01
rho_633  9.3922838548e-02  6.3477173251e-01
chi_6222  2.8115108853e+00  4.3654093109e+00
chi_633  9.3095767790e-01  6.1655562112e+00
