# type  value  stat. err
v4_L  1.6674800434e-03  5.7755060343e-04
v4(Psi2)  1.7760167424e-03  3.5008236540e-04
rho_422  7.2903226540e-01  1.6974434202e-01
chi_422  1.3173462501e+00  2.0461540555e-01
v5_L  9.4155446347e-04  3.9566523464e-04
v5(Psi23)  1.0765260029e-04  1.7118244932e-04
rho_523  1.1359489590e-01  1.8666161947e-01
chi_523  5.0698454352e-01  8.0322414472e-01
v6_L  8.2812447176e-06  8.0824113149e-07
v6(Psi2)  1.2110496279e-04  1.5470167349e-04
v6(Psi3)  9.9580379016e-05  2.8221433006e-04
rho_6222  1.1753245368e-01  1.5541654486e-01
rho_633  9.6642829612e-02  2.7587276922e-01
chi_6222  1.7769962325e+00  2.2417314804e+00
chi_633  1.3881554739e+00  3.9208866915e+00
