# n  vn{4}  vn{4}_err  Cn{4}  Cn{4}_err
1  0.0000000000e+00  0.0000000000e+00  3.1161121191e-08  5.2140489618e-08
2  1.8305517876e-02  7.7193822037e-03  -1.1228663822e-07  1.8940375959e-07
3  0.0000000000e+00  0.0000000000e+00  2.5044687743e-09  1.5756849756e-09
