# n  vn{4}/vn{2}  (vn{4}/vn{2})_err  Fn  Fn_err
# Fn = sqrt((vn{2}^2 - vn{4}^2)/(vn{2}^2 + vn{4}^2))
1  6.4068323969e-03  6.2146274250e-01  6.7261357954e-03  6.5243517215e-01
2  5.7795974963e-01  2.2235402512e-01  7.0623626311e-01  2.1116057647e-01
3  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00
