# type  value  stat. err
v4_L  4.7684887765e-03  1.5736947014e-03
v4(Psi2)  4.8075604186e-03  1.1361926941e-03
rho_422  7.0998596764e-01  1.8574971631e-01
chi_422  2.0513866938e+00  3.3968265268e-01
v5_L  2.5997399496e-03  1.4295083092e-03
v5(Psi23)  3.0325070329e-03  8.8208242081e-04
rho_523  7.5920115439e-01  2.5266294905e-01
chi_523  4.8318557037e+00  9.1559380445e-01
v6_L  1.4507788119e-05  3.7677810926e-06
v6(Psi2)  1.6520858048e-03  5.0843842415e-04
v6(Psi3)  -8.8972548022e-04  9.3826253821e-04
rho_6222  6.9708397268e-01  2.6375479377e-01
rho_633  -3.7541232456e-01  4.0442401478e-01
chi_6222  9.3803480057e+00  2.0069775565e+00
chi_633  -3.6491902670e+00  3.7404508276e+00
