# type  value  stat. err
v4_L  nan  nan
v4(Psi2)  -2.0619694384e-04  2.1410743462e-03
rho_422  nan  nan
chi_422  -2.4365458285e+00  2.5290650878e+01
v5_L  nan  nan
v5(Psi23)  nan  nan
rho_523  nan  nan
chi_523  -1.7086078921e+02  7.3447080050e+03
v6_L  -5.2599227234e-04  1.5311642442e-03
v6(Psi2)  1.4960848930e-03  1.3443974539e-02
v6(Psi3)  3.0185864660e-03  2.4823551329e-03
rho_6222  inf  inf
rho_633  inf  inf
chi_6222  2.4482669073e+03  2.1939008550e+04
chi_633  8.0140722438e+01  6.1591728457e+01
