# n  vn{4}  vn{4}_err  Cn{4}  Cn{4}_err
1  1.0358365999e-02  1.9648758495e-03  -1.1512377146e-08  8.7351197385e-09
2  0.0000000000e+00  0.0000000000e+00  1.4006283750e-10  1.1046251620e-08
3  0.0000000000e+00  0.0000000000e+00  1.8439368420e-09  2.8354725199e-09
