# type  value  stat. err
v4_L  nan  nan
v4(Psi2)  2.8318539309e-04  2.8275949046e-03
rho_422  nan  nan
chi_422  3.1128182554e+00  3.1062751283e+01
v5_L  nan  nan
v5(Psi23)  nan  nan
rho_523  nan  nan
chi_523  -1.5298232321e+02  3.2462465157e+03
v6_L  -2.8338876631e-02  2.0109175984e+00
v6(Psi2)  5.8953370990e-03  1.5898119551e-02
v6(Psi3)  4.7375984126e-03  2.3107101157e-01
rho_6222  inf  inf
rho_633  inf  inf
chi_6222  1.1719069713e+04  2.3563813508e+04
chi_633  4.2249420818e+02  2.0482347790e+04
