# type  value  stat. err
v4_L  2.2546015045e-03  8.0725063586e-04
v4(Psi2)  1.5464286717e-03  6.1649786480e-04
rho_422  5.6563189878e-01  2.5418824257e-01
chi_422  1.4958628582e+00  5.2101669240e-01
v5_L  2.0005770392e-03  5.1456514285e-04
v5(Psi23)  5.4468002496e-04  1.1531610678e-03
rho_523  2.6269904437e-01  5.5839791924e-01
chi_523  3.0946389498e+00  6.4230927296e+00
v6_L  4.7929525481e-05  1.6858514263e-04
v6(Psi2)  2.2832743576e-04  2.1551228198e-04
v6(Psi3)  -2.0225595773e-04  1.1304027165e-03
rho_6222  1.0501511231e-01  1.1196083739e-01
rho_633  -9.3024003209e-02  5.2194968279e-01
chi_6222  4.5460415981e+00  4.1074779730e+00
chi_633  -2.4678293615e+00  1.3748556651e+01
