# type  value  stat. err
v4_L  5.9458100748e-04  5.6396746175e-04
v4(Psi2)  7.0228407951e-04  2.3673360354e-04
rho_422  7.6320371752e-01  3.6753762078e-01
chi_422  2.2568733872e+00  6.0874222989e-01
v5_L  2.5504497465e-04  1.2656275707e-03
v5(Psi23)  4.8014008587e-04  3.1022841914e-04
rho_523  8.8313815834e-01  1.0284322235e+00
chi_523  9.4390273771e+00  5.1583769086e+00
v6_L  1.1038759833e-05  1.7681236785e-05
v6(Psi2)  1.2800582945e-05  1.4709032520e-04
v6(Psi3)  -6.8796836734e-05  1.3065006929e-03
rho_6222  1.5735601669e-02  1.8118365885e-01
rho_633  -8.4571118643e-02  1.6072607272e+00
chi_6222  1.4173873661e+00  1.6281331663e+01
chi_633  -3.0895724222e+00  5.8658216992e+01
