# type  value  stat. err
v4_L  1.0249151215e-02  7.6568766336e-04
v4(Psi2)  5.4228052162e-03  7.3049115721e-04
rho_422  4.6767107033e-01  6.7261411521e-02
chi_422  7.5031195336e-01  8.8794005731e-02
v5_L  3.9800737974e-03  3.7895313322e-04
v5(Psi23)  2.6581940044e-03  3.1073936257e-04
rho_523  5.5539597654e-01  7.1773674421e-02
chi_523  1.5550734772e+00  1.6318203762e-01
v6_L  1.0514033457e-05  1.0781256487e-06
v6(Psi2)  7.6233156127e-04  2.7864217373e-04
v6(Psi3)  5.6510567958e-04  1.8940240045e-04
rho_6222  2.8826903068e-01  1.0801883212e-01
rho_633  2.1368978377e-01  7.3760398845e-02
chi_6222  9.3508551209e-01  3.2540155082e-01
chi_633  6.1246902780e-01  1.9104470982e-01
