# type  value  stat. err
v4_L  2.2579418413e-02  1.6607371063e-03
v4(Psi2)  8.7028837872e-03  1.3904577647e-03
rho_422  3.5964469243e-01  6.1456249504e-02
chi_422  4.8093521990e-01  5.9463442092e-02
v5_L  1.0339188365e-02  1.2016099285e-03
v5(Psi23)  7.3170704330e-03  1.3072908358e-03
rho_523  5.7767445239e-01  1.0708365333e-01
chi_523  1.2235106340e+00  1.4665515803e-01
v6_L  4.9605349132e-05  4.6311431080e-06
v6(Psi2)  5.0358894956e-04  3.7646685749e-04
v6(Psi3)  1.7338580423e-03  7.0491552465e-04
rho_6222  6.8667601692e-02  5.1439915778e-02
rho_633  2.3642272839e-01  9.6790671756e-02
chi_6222  1.3721953216e-01  9.9607966288e-02
chi_633  4.9100549885e-01  1.9265816574e-01
