# n  vn{4}/vn{2}  (vn{4}/vn{2})_err  Fn  Fn_err
# Fn = sqrt((vn{2}^2 - vn{4}^2)/(vn{2}^2 + vn{4}^2))
1  1.2019660992e-01  1.8934986740e+00  4.2411133783e-01  6.4242974879e+00
2  1.0992825892e-03  2.1106225713e-01  4.9531420549e-03  9.5100327454e-01
3  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00
