# type  value  stat. err
v4_L  1.3430904734e-02  1.2756949893e-03
v4(Psi2)  8.2929824500e-03  1.3234122941e-03
rho_422  5.2537473013e-01  8.8311316600e-02
chi_422  7.1687986737e-01  9.8911070680e-02
v5_L  6.0085939019e-03  1.2504658455e-03
v5(Psi23)  5.0415926860e-03  1.0066037279e-03
rho_523  6.4277143118e-01  1.4078765495e-01
chi_523  1.3756167868e+00  1.1024372397e-01
v6_L  1.5220518053e-05  2.2567262162e-06
v6(Psi2)  1.8755605631e-04  8.6734184589e-04
v6(Psi3)  2.0749322588e-03  5.3637123843e-04
rho_6222  4.4455032703e-02  2.0562246749e-01
rho_633  4.9180593386e-01  1.3534029074e-01
chi_6222  1.0685578253e-01  4.9398586703e-01
chi_633  1.0619142405e+00  9.4606481548e-02
