# type  value  stat. err
v4_L  1.6125791654e-02  1.5303326743e-03
v4(Psi2)  9.9679085123e-03  1.6024290654e-03
rho_422  5.2579298971e-01  8.8893129009e-02
chi_422  6.4921947275e-01  9.0010165820e-02
v5_L  7.1929250876e-03  1.4923108547e-03
v5(Psi23)  6.0588589415e-03  1.2096218188e-03
rho_523  6.4423894235e-01  1.4073416222e-01
chi_523  1.2064049291e+00  9.3488112141e-02
v6_L  2.2311171902e-05  3.0921890671e-06
v6(Psi2)  2.3431652043e-04  1.0521382408e-03
v6(Psi3)  2.4820186692e-03  6.4165312367e-04
rho_6222  4.5083701830e-02  2.0247784650e-01
rho_633  4.7755313802e-01  1.3079197243e-01
chi_6222  8.7756728709e-02  3.9390695471e-01
chi_633  9.0490721623e-01  8.2644446588e-02
