# type  value  stat. err
v4_L  2.4056346976e-02  2.2839830476e-03
v4(Psi2)  1.4374491429e-02  2.5193885522e-03
rho_422  5.1293854340e-01  9.3865213327e-02
chi_422  5.6205997339e-01  8.5500044478e-02
v5_L  1.0934878902e-02  2.2478119852e-03
v5(Psi23)  9.1643981355e-03  1.9034611940e-03
rho_523  6.4233281025e-01  1.4417003686e-01
chi_523  9.7468380137e-01  7.0832448174e-02
v6_L  4.9345501729e-05  6.3006575378e-06
v6(Psi2)  3.9897517243e-04  1.8454721596e-03
v6(Psi3)  3.9245174380e-03  1.0412664169e-03
rho_6222  4.9626239159e-02  2.2959006979e-01
rho_633  4.8814827192e-01  1.3658658644e-01
chi_6222  7.0403022341e-02  3.2551778044e-01
chi_633  7.0272858653e-01  6.6285429907e-02
