# type  value  stat. err
v4_L  2.0891269739e-02  1.8629947523e-02
v4(Psi2)  4.0560559493e-02  8.0140030072e-03
rho_422  8.8900635558e-01  1.9801669140e-01
chi_422  9.1119290993e-01  1.1144525403e-01
v5_L  1.0274425314e-02  9.2214497678e-03
v5(Psi23)  1.9128163617e-02  3.7784038694e-03
rho_523  8.8095808683e-01  2.0829430670e-01
chi_523  1.9625040869e+00  2.0462346659e-01
v6_L  1.3591452570e-04  4.5960714464e-05
v6(Psi2)  1.0563513480e-02  5.7773125288e-03
v6(Psi3)  1.0888806254e-03  2.8288736029e-03
rho_6222  6.5780633103e-01  3.7116813561e-01
rho_633  6.7806281545e-02  1.7640958805e-01
chi_6222  7.2112400919e-01  3.6142729219e-01
chi_633  1.7129697800e-01  4.4254073720e-01
