# type  value  stat. err
v4_L  1.3117880806e-02  1.0625804441e-02
v4(Psi2)  2.4122531644e-02  4.7792377039e-03
rho_422  8.7850516025e-01  1.9653766069e-01
chi_422  1.0984669764e+00  1.3916757309e-01
v5_L  6.2772530405e-03  4.8428442775e-03
v5(Psi23)  1.0905869647e-02  2.0443364224e-03
rho_523  8.6668719203e-01  1.9796180409e-01
chi_523  2.4853688147e+00  2.3956901624e-01
v6_L  5.3843402092e-05  1.6362285901e-05
v6(Psi2)  5.8622173998e-03  3.2051279242e-03
v6(Psi3)  4.9637483734e-04  1.5461814154e-03
rho_6222  6.2535584351e-01  3.5256152609e-01
rho_633  5.2951107735e-02  1.6510061091e-01
chi_6222  1.0971598344e+00  5.5179801870e-01
chi_633  1.8453459077e-01  5.7263820544e-01
