#correlator  value  value_err
4(24)  6.26850e-02  1.05929e-01
6(23)  3.10706e-01  2.00652e-01
6(26)  2.37325e-02  1.46200e-01
6(36)  -1.20585e-01  1.16147e-01
(235)  -3.91331e-01  9.40133e-02
(246)  3.04519e-01  6.20447e-02
(234)  -5.48198e-02  8.10983e-02
