# type  value  stat. err
v4_L  3.2264939119e-03  2.6890237795e-04
v4(Psi2)  1.6934384848e-04  3.3516137941e-04
rho_422  5.2413265489e-02  1.0382614340e-01
chi_422  5.8445144698e-02  1.1555727070e-01
v5_L  1.9965782321e-03  4.7850477552e-04
v5(Psi23)  -1.6219389587e-03  3.5343316039e-04
rho_523  -6.3052685675e-01  1.5550458735e-01
chi_523  -7.6590063688e+00  1.4324491664e+00
v6_L  5.6329153984e-06  7.3645473625e-07
v6(Psi2)  7.5714285218e-05  1.8698159588e-04
v6(Psi3)  -2.9485285083e-04  2.9818001063e-04
rho_6222  1.0999603486e-01  2.8208317708e-01
rho_633  -4.2835568433e-01  5.2471583496e-01
chi_6222  3.6896033915e-01  9.0967045496e-01
chi_633  -1.0962169863e+01  1.0980004506e+01
