# type  value  stat. err
v4_L  6.4495628353e-03  4.9435929636e-04
v4(Psi2)  -1.6649575817e-04  6.4551022215e-04
rho_422  -2.5806448028e-02  1.0007205830e-01
chi_422  -2.9520038985e-02  1.1441481368e-01
v5_L  4.7637401052e-03  8.6689143936e-04
v5(Psi23)  -3.2481935908e-03  8.1083779841e-04
rho_523  -5.6335919844e-01  1.5060601185e-01
chi_523  -7.5111830750e+00  1.6850626664e+00
v6_L  1.4580025540e-05  1.6045768409e-06
v6(Psi2)  2.4510590024e-04  2.8369886964e-04
v6(Psi3)  -4.8782510236e-04  5.9471159009e-04
rho_6222  1.3184115174e-01  1.5496073773e-01
rho_633  -2.6239851133e-01  3.2435621165e-01
chi_6222  4.3276473402e-01  4.9582183990e-01
chi_633  -7.9373811616e+00  9.6026410523e+00
