# type  value  stat. err
v4_L  4.0321742638e-03  3.3706582253e-04
v4(Psi2)  7.3632474999e-05  4.2002850249e-04
rho_422  1.8258189266e-02  1.0416303851e-01
chi_422  1.9742021103e-02  1.1260190571e-01
v5_L  2.5719471243e-03  5.6873834132e-04
v5(Psi23)  -2.0363395107e-03  4.6856594811e-04
rho_523  -6.2074317677e-01  1.5649779086e-01
chi_523  -7.0807263637e+00  1.4256026479e+00
v6_L  6.4770707450e-06  8.1259171462e-07
v6(Psi2)  4.2298738057e-05  1.9457336120e-04
v6(Psi3)  -3.7149113771e-04  3.3030443191e-04
rho_6222  1.1626632875e-01  6.2162673187e-01
rho_633  -1.0211158235e+00  2.9269903589e+00
chi_6222  1.4042604128e-01  6.4561563807e-01
chi_633  -9.7533598834e+00  8.5737486906e+00
