# type  value  stat. err
v4_L  1.3788147911e-03  1.3542927038e-03
v4(Psi2)  2.4634128841e-03  4.7589438045e-04
rho_422  8.7261116338e-01  2.3182842938e-01
chi_422  1.3164838226e+00  2.0775239892e-01
v5_L  9.2459486498e-04  4.6788592317e-04
v5(Psi23)  4.4586759663e-04  2.3240049500e-04
rho_523  4.3436304231e-01  2.8502230332e-01
chi_523  1.9152657126e+00  9.8123839948e-01
v6_L  7.2956752742e-06  7.1115364431e-07
v6(Psi2)  5.5892237730e-04  3.3627452444e-04
v6(Psi3)  9.4197685851e-05  2.3811432190e-04
rho_6222  1.2627089092e+00  2.3613073764e+00
rho_633  2.1280997502e-01  6.5678315793e-01
chi_6222  5.0732611930e+00  2.8868039258e+00
chi_633  1.6082578620e+00  4.0577110617e+00
