# type  value  stat. err
v4_L  7.9386887955e-03  4.3080774107e-04
v4(Psi2)  8.3487656094e-04  6.4360909436e-04
rho_422  1.0458877372e-01  8.0818202861e-02
chi_422  6.8433544347e-01  5.2238075042e-01
v5_L  2.7893598821e-03  2.2245374656e-04
v5(Psi23)  5.3200675896e-04  2.8071046112e-04
rho_523  1.8735002090e-01  9.9839685767e-02
chi_523  1.1358630129e+00  5.9230240666e-01
v6_L  8.2807905131e-06  9.1434971978e-07
v6(Psi2)  -8.3623326778e-05  1.7353901351e-04
v6(Psi3)  5.1039838798e-05  2.4503843432e-04
rho_6222  -4.8859318076e-02  1.0166912384e-01
rho_633  2.9821484202e-02  1.4324307515e-01
chi_6222  -1.3828555414e+00  2.8587471712e+00
chi_633  1.3191045344e-01  6.3310074223e-01
