# type  value  stat. err
v4_L  1.1880836873e-02  6.5960068487e-04
v4(Psi2)  1.3320778014e-03  9.7980338743e-04
rho_422  1.1142171653e-01  8.2176782983e-02
chi_422  6.7180784638e-01  4.8833975552e-01
v5_L  4.4068675311e-03  3.2444431178e-04
v5(Psi23)  8.6933432946e-04  3.9679782443e-04
rho_523  1.9353828517e-01  8.9335433993e-02
chi_523  1.0431868525e+00  4.6884147420e-01
v6_L  1.4571378085e-05  1.8836358916e-06
v6(Psi2)  -1.2237776812e-04  2.8677895124e-04
v6(Psi3)  4.8914199818e-05  3.0581096621e-04
rho_6222  -5.0563470046e-02  1.1874468502e-01
rho_633  2.0210138780e-02  1.2639172986e-01
chi_6222  -9.6511841107e-01  2.2539553833e+00
chi_633  6.4848306173e-02  4.0536830064e-01
