# type  value  stat. err
v4_L  4.7433511831e-03  2.3241309740e-03
v4(Psi2)  7.9520596616e-03  1.0861005034e-03
rho_422  8.5881868059e-01  1.3590050308e-01
chi_422  1.4146537294e+00  9.5209347896e-02
v5_L  2.5503684727e-03  8.4322758945e-04
v5(Psi23)  2.4133973216e-03  4.7948660151e-04
rho_523  6.8733310288e-01  1.6988268820e-01
chi_523  3.0853098659e+00  5.3142375402e-01
v6_L  1.9073255732e-05  8.9046159091e-06
v6(Psi2)  1.0838237964e-03  4.1700721154e-04
v6(Psi3)  2.6874626760e-04  5.0134054118e-04
rho_6222  5.1642223477e-01  2.0936554616e-01
rho_633  1.2805268584e-01  2.3943924755e-01
chi_6222  2.0521974335e+00  7.0326582901e-01
chi_633  9.1315097656e-01  1.6914157077e+00
