# type  value  stat. err
v4_L  7.5036224420e-03  3.5903485536e-03
v4(Psi2)  1.2343047088e-02  1.7256604977e-03
rho_422  8.5449164368e-01  1.3724229749e-01
chi_422  1.2150890519e+00  8.7139923537e-02
v5_L  3.9415384839e-03  1.4609269917e-03
v5(Psi23)  4.0305776548e-03  8.0807998660e-04
rho_523  7.1495974156e-01  1.7876939616e-01
chi_523  2.6241853113e+00  4.5438904436e-01
v6_L  2.6166494105e-05  8.2795025624e-06
v6(Psi2)  1.6723910494e-03  7.3873007136e-04
v6(Psi3)  6.7141829420e-04  9.0709846007e-04
rho_6222  4.6211698079e-01  2.1229302271e-01
rho_633  1.8552706024e-01  2.5174146873e-01
chi_6222  1.3423615368e+00  5.4403178357e-01
chi_633  1.0184535586e+00  1.3526849265e+00
