# type  value  stat. err
v4_L  3.9046480700e-03  1.8819040785e-03
v4(Psi2)  6.5302993443e-03  8.7903181002e-04
rho_422  8.5827653819e-01  1.3406327613e-01
chi_422  1.6076499087e+00  1.0315103597e-01
v5_L  2.1240417813e-03  6.8593182816e-04
v5(Psi23)  2.0170568415e-03  3.9246527777e-04
rho_523  6.8860897082e-01  1.6609661447e-01
chi_523  3.6667986076e+00  6.1448387251e-01
v6_L  1.6447953558e-05  8.6523124270e-06
v6(Psi2)  8.0054329208e-04  3.1341544890e-04
v6(Psi3)  1.5801911148e-04  3.5921422520e-04
rho_6222  5.3624798425e-01  2.2636180196e-01
rho_633  1.0584990324e-01  2.4120076056e-01
chi_6222  2.4412399784e+00  8.5647103148e-01
chi_633  8.0482121130e-01  1.8219348274e+00
