# n  vn{4}  vn{4}_err  Cn{4}  Cn{4}_err
1  3.2401804633e-02  4.8571177906e-03  -1.1022415965e-06  6.6091593704e-07
2  5.5973052785e-02  8.7874938129e-03  -9.8155802107e-06  6.1639911407e-06
3  1.9722225069e-02  1.9471207560e-03  -1.5129467492e-07  5.9747619913e-08
