# n  vn{4}  vn{4}_err  Cn{4}  Cn{4}_err
1  3.1731317602e-02  2.1455231512e-03  -1.0138003200e-06  2.7419372678e-07
2  4.5697935090e-02  7.6367243174e-03  -4.3610022007e-06  2.9151226626e-06
3  1.5037925714e-02  1.6291433651e-03  -5.1138942206e-08  2.2160680928e-08
