# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  -7.2514731513e-03  5.4911724587e-03  -6.9364885338e-03  5.0201120672e-03
SC_42  -7.2658442249e-03  5.5032893633e-03  -6.9502034286e-03  5.0311843903e-03
