# type  value  stat. err
v4_L  6.8964243247e-03  1.4483090552e-03
v4(Psi2)  6.8877632569e-03  9.9878942620e-04
rho_422  7.0666234276e-01  1.1576675552e-01
chi_422  1.2750282817e+00  1.3685030633e-01
v5_L  3.0024078377e-03  6.8623086814e-04
v5(Psi23)  3.3770240924e-03  4.2800080754e-04
rho_523  7.4734243223e-01  1.0890143263e-01
chi_523  3.2158042356e+00  3.2592880358e-01
v6_L  1.0383512663e-05  2.8688395782e-06
v6(Psi2)  1.5471712436e-03  5.9914248675e-04
v6(Psi3)  3.8513530252e-04  2.6488957915e-04
rho_6222  4.7270642894e-01  1.8917686742e-01
rho_633  1.1767018956e-01  8.1799195387e-02
chi_6222  3.3807702231e+00  1.2352476283e+00
chi_633  7.4928917865e-01  5.1027237240e-01
