# type  value  stat. err
v4_L  1.2709074207e-02  2.8983239965e-03
v4(Psi2)  1.3226662837e-02  1.9737393815e-03
rho_422  7.2107463962e-01  1.2115971382e-01
chi_422  9.8629918446e-01  1.0977112300e-01
v5_L  5.9677845174e-03  1.2321388057e-03
v5(Psi23)  6.4715098453e-03  8.2912098854e-04
rho_523  7.3513834849e-01  1.0557263388e-01
chi_523  2.2011446072e+00  2.2709720249e-01
v6_L  2.6470720913e-05  1.3220756913e-05
v6(Psi2)  3.4966814177e-03  1.3222994369e-03
v6(Psi3)  1.1996773717e-03  4.4172117224e-04
rho_6222  5.4920036949e-01  2.1496071327e-01
rho_633  1.8842530305e-01  7.1939651262e-02
chi_6222  2.0252321262e+00  7.1805058711e-01
chi_633  7.5213413879e-01  2.6762789235e-01
