# type  value  stat. err
v4_L  1.4026053451e-02  7.2688271017e-04
v4(Psi2)  4.7685415085e-03  8.3130765697e-04
rho_422  3.2188357277e-01  5.7780816602e-02
chi_422  6.6031168522e-01  1.0852918347e-01
v5_L  4.8298247388e-03  4.3221379142e-04
v5(Psi23)  3.2089410416e-03  3.7486593732e-04
rho_523  5.5339312339e-01  7.0481487143e-02
chi_523  1.4509204428e+00  1.5009380023e-01
v6_L  1.3985201445e-05  1.4187916400e-06
v6(Psi2)  6.6024073323e-05  2.3508860346e-04
v6(Psi3)  1.1224590365e-03  2.6911571010e-04
rho_6222  2.4115464319e-02  8.5894637272e-02
rho_633  4.0998107935e-01  1.0510803624e-01
chi_6222  8.3564647548e-02  2.9742536789e-01
chi_633  8.0729046705e-01  1.6132907482e-01
