# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  9.7072140762e-03  1.0789359766e-02  1.0285294946e-02  1.2084050068e-02
SC_42  9.7233322829e-03  1.0805523507e-02  1.0302531555e-02  1.2102551165e-02
