# type  value  stat. err
v4_L  4.0546558924e-03  6.2907126339e-04
v4(Psi2)  -1.8213445591e-03  6.7159375335e-04
rho_422  -4.0975643551e-01  1.5806143466e-01
chi_422  -1.2142104090e+00  4.1119007602e-01
v5_L  7.9528561281e-04  1.9801655087e-03
v5(Psi23)  1.8576923793e-03  5.6532538729e-04
rho_523  9.1930052869e-01  3.8478070227e-01
chi_523  1.2203836638e+01  3.1784797800e+00
v6_L  1.9802575939e-05  3.6671767355e-06
v6(Psi2)  -2.7419126619e-04  4.3458927800e-04
v6(Psi3)  -8.1827142984e-04  7.0542782063e-04
rho_6222  -1.4781413794e-01  2.3943470998e-01
rho_633  -4.4112304407e-01  4.0786533184e-01
chi_6222  -3.3561379593e+00  5.2699413400e+00
chi_633  -1.8286250626e+01  1.5110507508e+01
