# type  value  stat. err
v4_L  6.7260980662e-03  1.0395390159e-03
v4(Psi2)  -3.4633054096e-03  1.1570931976e-03
rho_422  -4.5778378396e-01  1.5966428603e-01
chi_422  -1.7550915232e+00  5.2904823759e-01
v5_L  2.0088617849e-03  1.5259672808e-03
v5(Psi23)  2.9496320486e-03  6.6250295997e-04
rho_523  8.2652080923e-01  2.4074184659e-01
chi_523  9.3854197687e+00  1.7959714730e+00
v6_L  3.2689722889e-05  4.5788745735e-06
v6(Psi2)  -3.0572410533e-04  4.9304296422e-04
v6(Psi3)  -1.1876574841e-03  4.3723368944e-04
rho_6222  -1.2932282652e-01  2.1356367219e-01
rho_633  -5.0238505927e-01  2.5706928833e-01
chi_6222  -2.4964262971e+00  3.9932520497e+00
chi_633  -1.0252891565e+01  3.4345367167e+00
