# type  value  stat. err
v4_L  3.0928598011e-03  5.2218829758e-04
v4(Psi2)  -1.2948370064e-03  5.3448014847e-04
rho_422  -3.8617653673e-01  1.6710055958e-01
chi_422  -1.0821280656e+00  4.1811437189e-01
v5_L  5.0592415539e-04  2.4345427088e-03
v5(Psi23)  1.3130208778e-03  5.4007952276e-04
rho_523  9.3312729361e-01  6.1038983948e-01
chi_523  1.1658262241e+01  4.4248703657e+00
v6_L  1.6924400913e-05  2.2777111801e-06
v6(Psi2)  -1.1972601861e-04  4.1330996003e-04
v6(Psi3)  -3.3025335018e-04  5.4441004195e-04
rho_6222  -8.1873409310e-02  2.8483120535e-01
rho_633  -2.2584036476e-01  3.8479863728e-01
chi_6222  -2.0599572645e+00  7.0975161490e+00
chi_633  -1.1790805573e+01  1.9243163916e+01
