# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  -7.4318144282e+00  2.3987138585e+02  7.8281750135e-01  7.6978629881e+01
SC_42  -7.4318251426e+00  2.3987221369e+02  7.8317791620e-01  7.6998722304e+01
