# type  value  stat. err
v4_L  2.2972189514e-03  4.5491374318e-04
v4(Psi2)  -3.3841294453e-04  3.1818203232e-04
rho_422  -1.4574127588e-01  1.3987962300e-01
chi_422  -1.4296685137e+00  1.3297121015e+00
v5_L  nan  nan
v5(Psi23)  -2.8845080145e-04  2.4960297357e-04
rho_523  nan  nan
chi_523  -4.1934892392e+00  3.5616306084e+00
v6_L  1.7572409855e-05  1.4128478083e-06
v6(Psi2)  2.8155019501e-04  2.3972533586e-04
v6(Psi3)  1.8309480469e-04  2.3864596168e-04
rho_6222  inf  inf
rho_633  inf  inf
chi_6222  5.0173636586e+01  4.1596531060e+01
chi_633  3.4533707798e+00  4.4431669767e+00
