# n  vn{4}  vn{4}_err  Cn{4}  Cn{4}_err
1  4.0873055264e-03  2.3286067537e-03  -2.7909265677e-10  6.3601513639e-10
2  3.7878256897e-02  5.0091977658e-03  -2.0585429882e-06  1.0889253922e-06
3  9.4595205240e-03  1.1066734919e-02  -8.0071229146e-09  3.7470274116e-08
