# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  -1.1604210455e+01  9.4604700438e+02  6.1513546160e-01  5.5050858881e+01
SC_42  -1.1611022950e+01  9.4662101611e+02  6.0676833369e-01  5.4199490314e+01
