# type  value  stat. err
v4_L  1.1779663087e-02  8.3788300205e-04
v4(Psi2)  5.9447355903e-03  9.1964373802e-04
rho_422  4.5053935051e-01  7.2869883702e-02
chi_422  1.0500210000e+00  1.3878319643e-01
v5_L  3.7521108375e-03  7.5971161716e-04
v5(Psi23)  4.3210740320e-03  4.5317057742e-04
rho_523  7.5506779166e-01  9.2474551957e-02
chi_523  2.2791978302e+00  1.6459400708e-01
v6_L  1.2847838754e-05  1.3306435395e-06
v6(Psi2)  2.9589560564e-04  3.3628562691e-04
v6(Psi3)  6.0746668259e-04  2.7121481058e-04
rho_6222  1.2737920226e-01  1.4564517886e-01
rho_633  2.6150649065e-01  1.2127244626e-01
chi_6222  5.3750677735e-01  6.0800595638e-01
chi_633  5.5161362382e-01  2.4043061098e-01
