# type  value  stat. err
v4_L  1.7109569740e-02  1.2037058464e-03
v4(Psi2)  8.6321373047e-03  1.3127723891e-03
rho_422  4.5043978759e-01  7.1676422534e-02
chi_422  9.5049774009e-01  1.2272435631e-01
v5_L  5.5906486472e-03  1.0854595389e-03
v5(Psi23)  6.3619451230e-03  6.7141656467e-04
rho_523  7.5117377485e-01  9.1226879294e-02
chi_523  1.9469571872e+00  1.3586968893e-01
v6_L  2.4200940611e-05  2.5149592568e-06
v6(Psi2)  4.2580191901e-04  4.4530594817e-04
v6(Psi3)  9.5952778863e-04  3.6327525072e-04
rho_6222  1.1792202109e-01  1.2382935984e-01
rho_633  2.6573261199e-01  1.0371322751e-01
chi_6222  3.8116228962e-01  3.9644311377e-01
chi_633  4.6498120404e-01  1.6927468188e-01
