#correlator  value  value_err
4(24)  8.11627e-01  7.58447e-02
6(23)  2.05024e-01  1.39232e-01
6(26)  5.53862e-01  1.68193e-01
6(36)  2.81997e-01  8.72118e-02
(235)  5.91513e-01  5.05813e-02
(246)  5.03225e-01  9.83876e-02
(234)  -7.06514e-02  1.03015e-01
