# type  value  stat. err
v4_L  8.9408976656e-03  1.2786419857e-03
v4(Psi2)  7.4866235271e-03  1.0275444773e-03
rho_422  6.4199820316e-01  9.6737262686e-02
chi_422  9.4261358192e-01  8.7689349621e-02
v5_L  4.5191563439e-03  6.9940749923e-04
v5(Psi23)  4.3501558427e-03  4.6800213779e-04
rho_523  6.9350731362e-01  8.5921578865e-02
chi_523  2.2617220383e+00  1.8243776382e-01
v6_L  1.5405069624e-05  2.4853319510e-06
v6(Psi2)  1.1659107256e-03  4.6333645297e-04
v6(Psi3)  7.8670745053e-04  2.8353374015e-04
rho_6222  3.3644658033e-01  1.3672754795e-01
rho_633  2.2701998157e-01  8.4062857282e-02
chi_6222  1.2598878512e+00  4.6009471935e-01
chi_633  9.2037221803e-01  3.2247819299e-01
