# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  -7.9094344614e-03  8.3672286445e-03  -7.5317909485e-03  7.5658467992e-03
SC_42  -7.9287854287e-03  8.3892859440e-03  -7.5501531765e-03  7.5857306825e-03
