#correlator  value  value_err
4(24)  9.22214e-01  6.05170e-02
6(23)  2.34253e-01  1.22721e-01
6(26)  -1.13652e-01  9.72571e-02
6(36)  -1.68414e-01  8.18128e-02
(235)  -6.23407e-02  7.46911e-02
(246)  -2.37306e-01  7.58806e-02
(234)  8.93005e-02  9.81355e-02
