# n  vn{4}/vn{2}  (vn{4}/vn{2})_err  Fn  Fn_err
# Fn = sqrt((vn{2}^2 - vn{4}^2)/(vn{2}^2 + vn{4}^2))
1  4.0817539222e-01  8.6806532996e-01  8.3923687983e-01  6.3056990725e-01
2  8.4372867611e-01  4.6349150027e-02  4.1020212150e-01  6.7617236558e-02
3  7.7759816140e-01  7.8370356702e-02  4.9627374511e-01  9.8139578812e-02
