# type  value  stat. err
v4_L  1.6994188364e-03  1.0917726147e-03
v4(Psi2)  3.4569171295e-03  3.7514579207e-04
rho_422  8.9742236540e-01  1.2619270476e-01
chi_422  7.4572998094e-01  4.9592480593e-02
v5_L  1.6720926908e-03  2.7330448125e-04
v5(Psi23)  8.5404623605e-05  2.2540717798e-04
rho_523  5.1009994512e-02  1.3488606719e-01
chi_523  1.0339262159e-01  2.7282044274e-01
v6_L  8.1258595658e-06  9.9584319080e-07
v6(Psi2)  -1.6093885368e-04  2.6323882778e-04
v6(Psi3)  -5.2472635108e-04  1.9125980121e-04
rho_6222  -1.0562364556e-01  1.7422419530e-01
rho_633  -3.4437619539e-01  1.4541860719e-01
chi_6222  -3.9770744184e-01  6.4722578209e-01
chi_633  -2.1440282226e+00  7.5279528020e-01
