# type  value  stat. err
v4_L  2.6362218604e-03  1.3978714831e-03
v4(Psi2)  4.8464182238e-03  5.2850812136e-04
rho_422  8.7844962419e-01  1.2257088194e-01
chi_422  6.6227134581e-01  4.5345096045e-02
v5_L  2.2069173988e-03  3.2996577457e-04
v5(Psi23)  -2.9864917490e-04  3.2121608814e-04
rho_523  -1.3410182174e-01  1.4554959849e-01
chi_523  -2.1624161076e-01  2.3223412998e-01
v6_L  1.6093564698e-05  1.7525452784e-06
v6(Psi2)  -2.7170991069e-04  3.0245972992e-04
v6(Psi3)  -6.3673707437e-04  2.7084543257e-04
rho_6222  -1.0626636679e-01  1.1916684374e-01
rho_633  -2.4902932440e-01  1.1117890349e-01
chi_6222  -3.3999431021e-01  3.7456075362e-01
chi_633  -1.4531467089e+00  6.0077064265e-01
