#pT  vn{4}  vn{4}_err
1.0864399898e-01  9.1084053411e-03  1.0492889623e-01  1.4917706343e-02  2.4497008966e-02  4.4923438925e-02  5.0583175184e-02  
2.0513958318e-01  5.0370306425e-02  3.2495238241e-02  3.4025692654e-03  4.3303897129e-02  1.0992452888e-02  2.8805125046e-02  
3.0234587904e-01  4.3722695917e-03  3.0393056988e-02  1.8621670025e-02  1.3438089520e-02  5.9327980145e-02  3.4713767545e-02  
4.0160311282e-01  6.1617094626e-03  2.6557671639e-02  2.4352987306e-02  1.1955323708e-02  3.0711707614e-02  3.3279413591e-02  
5.0162854565e-01  1.0423684977e-02  2.7914935521e-02  1.8234192134e-02  1.0263934447e-02  6.5143154703e-03  2.4810737551e-02  
6.0056248216e-01  4.1256746313e-03  4.1056330308e-02  2.4492457516e-02  1.1484587232e-02  3.7481579324e-02  2.2115406166e-02  
6.9999238815e-01  4.1183107536e-02  2.8140306929e-02  2.6747504051e-02  1.0040343213e-02  1.2321294142e-02  2.2551212141e-02  
7.9996367494e-01  8.8345808492e-03  2.9123162100e-02  2.0767173882e-02  1.3714101608e-02  1.0334566650e-02  1.7763700326e-02  
8.9926032624e-01  4.0358549549e-03  5.1443524406e-02  5.4635924271e-02  1.2111070594e-02  7.9065938128e-03  2.2797203047e-02  
9.9974805568e-01  7.4711536499e-03  2.4362116774e-02  4.4868958783e-02  1.0914442274e-02  9.1934504207e-03  6.3211994185e-02  
1.0992406229e+00  4.7410105069e-03  5.2594339085e-02  6.1931547316e-02  1.1666232704e-02  5.1065617878e-02  2.6292155591e-02  
1.1992923222e+00  3.7838318699e-03  4.4390416139e-02  6.6596474024e-02  1.3658156075e-02  2.6794491744e-02  2.2295598318e-02  
1.2978131450e+00  2.4870919038e-02  3.0432749369e-02  6.1741304327e-02  1.2511065217e-02  9.9836513615e-02  3.3150132452e-02  
1.3986109234e+00  2.5835161531e-02  3.0818232942e-02  8.0106045315e-02  1.5378326461e-02  2.0307719154e-02  4.2694005122e-02  
1.4984418572e+00  3.4833889655e-02  3.8299699602e-02  9.0036749556e-02  1.9238643680e-02  1.3862230379e-02  7.6967454777e-02  
1.5978623688e+00  3.2535990362e-02  3.2696017547e-02  9.1142568031e-02  1.8564086744e-02  3.8431804423e-02  4.7316179396e-02  
